,promth,label
102,bisa tolong tampilkan foto ku,yudo
103,foto saat kuliah,kuliah
104,foto acara kampus,kuliah
105,aku ingin lihat foto ovil apa saja,ovil 
106,aku ingin lihat jumplah foto ku,len_yudo
107,jumlah foto saat kuliah berapa,len_kuliah
108,berapasih jumlah foto ku,len_yudo
109,tampilkan foto ovil,ovil 
110,tampilkan foto ku dong,yudo
111,kenangan saat sma,sma
112,tampilkan jumlah foto saat sma,len_sma
113,kenangan saat sma apa saja,sma 
114,tampilkan foto ovil saja ya,ovil 
115,tampilkan foto saat jaman sma,sma
116,tampilkan foto kita saat berdua,date
117,aku ingin lihat foto mesra kita,date
118,tampilkan kenangan saat sma,sma
119,tampilkan foto aktivitas kita di kampus,kuliah
120,aku ingin lihat foto yudo,yudo
121,perlihatkan foto yudo saja,yudo
122,aku ingin mengingat kenangan dulu saat sma,sma
123,perlihatkan foto kita saat keluar,date
124,tampilkan foto saat di kampus,kuliah
125,tampilkan foto saat kuliah,kuliah 
126,aku ingin lihat foto saat date,date
127,tolong tampilkan foto saat sma,sma
128,aku ingin lihat foto ku,yudo
129,aku ingin lihat foto ovil,ovil 
130,aku ingin lihat foto ovil saja,ovil 
131,bisa tolong tampilkan foto ku,yudo
132,foto saat kuliah,kuliah
133,foto acara kampus,kuliah
134,aku ingin lihat foto ovil apa saja,ovil 
135,aku ingin lihat jumplah foto ku,len_yudo
136,jumlah foto saat kuliah berapa,len_kuliah
137,berapasih jumlah foto ku,len_yudo
138,tampilkan foto ovil,ovil 
139,tampilkan foto ku dong,yudo
140,kenangan saat sma,sma
141,tampilkan jumlah foto saat sma,len_sma
142,kenangan saat sma apa saja,sma 
143,tampilkan foto ovil saja ya,ovil 
144,tampilkan foto saat jaman sma,sma
145,tampilkan jumlah foto date,len_date
146,aku ingin lihat foto mesra kita,date
147,tampilkan kenangan saat sma ,sma
148,tampilkan foto aktivitas kita di kampus,kuliah
149,aku ingin lihat foto yudo,yudo
150,perlihatkan foto yudo saja,yudo
151,aku ingin mengingat kenangan dulu saat sma,sma
152,perlihatkan foto kita saat keluar,date
153,tampilkan foto saat di kampus,kuliah
154,tampilkan foto saat kuliah,kuliah 
155,aku ingin lihat foto saat date,date
156,tolong tampilkan foto saat sma,sma
157,aku ingin lihat foto ku,yudo
158,aku ingin lihat foto ovil,ovil 
159,aku ingin lihat foto ovil saja,ovil 
160,bisa tolong tampilkan foto ku,yudo
161,foto saat kuliah,kuliah
162,foto acara kampus,kuliah
163,aku ingin lihat foto ovil apa saja,ovil 
164,aku ingin lihat jumplah foto ku,len_yudo
165,jumlah foto saat kuliah berapa,len_kuliah
166,berapasih jumlah foto ku,len_yudo
167,tampilkan foto ovil,ovil 
168,tampilkan foto ku dong,yudo
169,kenangan saat sma,sma
170,tampilkan jumlah foto saat sma,len_sma
171,kenangan saat sma apa saja,sma 
172,tampilkan foto ovil saja ya,ovil 
173,tampilkan foto saat jaman sma,sma
174,tampilkan foto kita saat berdua,date
175,tampilkan foto kita saat berdua,date
176,aku ingin lihat foto mesra kita,date
177,tampilkan kenangan saat sma,sma
178,tampilkan foto aktivitas kita di kampus,kuliah
179,aku ingin lihat foto yudo,yudo
180,perlihatkan foto yudo saja,yudo
181,aku ingin mengingat kenangan dulu saat sma,sma
182,perlihatkan foto kita saat keluar,date
183,tampilkan foto saat di kampus,kuliah
184,tampilkan foto saat kuliah,kuliah 
185,aku ingin lihat foto saat date ,date
186,tolong tampilkan foto saat sma,sma
187,aku ingin lihat foto ku,yudo
188,aku ingin lihat foto ovil,ovil 
189,aku ingin lihat foto ovil saja,ovil 
190,bisa tolong tampilkan foto ku ,yudo
191,foto saat kuliah,kuliah
192,foto acara kampus,kuliah
193,aku ingin lihat foto ovil apa saja,ovil 
194,aku ingin lihat jumplah foto ku,len_yudo
195,jumlah foto saat kuliah berapa,len_kuliah
196,berapasih jumlah foto ku ,len_yudo
197,tampilkan foto ovil,ovil 
198,tampilkan foto ku dong,yudo
199,kenangan saat sma,sma
200,tampilkan jumlah foto saat sma,len_sma
201,kenangan saat sma apa saja,sma 
202,tampilkan foto ovil saja ya,ovil 
203,tampilkan foto saat jaman sma,sma
204,tampilkan foto kita saat berdua,date
205,aku ingin lihat foto mesra kita,date
206,tampilkan kenangan saat sma,sma
207,tampilkan foto aktivitas kita di kampus,kuliah
208,aku ingin lihat foto yudo,yudo
209,perlihatkan foto yudo saja,yudo
210,aku ingin mengingat kenangan dulu saat sma,sma
211,perlihatkan foto kita saat keluar,date
212,tampilkan foto saat di kampus,kuliah
213,tampilkan foto saat kuliah,kuliah 
214,aku ingin lihat foto saat date,date
215,tolong tampilkan foto saat sma,sma
216,aku ingin lihat foto ku,yudo
217,aku ingin lihat foto ovil,ovil 
218,aku ingin lihat foto ovil saja,ovil 
219,bisa tolong tampilkan foto ku ,yudo
220,foto saat kuliah,kuliah
221,foto acara kampus,kuliah
222,aku ingin lihat foto ovil apa saja,ovil 
223,aku ingin lihat jumplah foto ku,len_yudo
224,jumlah foto saat kuliah berapa,len_kuliah
225,berapasih jumlah foto ku,len_yudo
226,tampilkan foto ovil,ovil 
227,tampilkan foto ku dong,yudo
228,kenangan saat sma,sma
229,tampilkan jumlah foto saat sma,len_sma
230,kenangan saat sma apa saja,sma 
231,tampilkan foto ovil saja ya,ovil 
232,tampilkan foto saat jaman sma,sma
233,tampilkan foto kita saat berdua,date
234,aku ingin lihat foto mesra kita,date
235,tampilkan kenangan saat sma ,sma
236,tampilkan foto aktivitas kita di kampus,kuliah
237,aku ingin lihat foto yudo,yudo
238,perlihatkan foto yudo saja,yudo
239,aku ingin mengingat kenangan dulu saat sma,sma
240,perlihatkan foto kita saat keluar,date
241,tampilkan foto saat di kampus,kuliah
242,tampilkan foto saat kuliah,kuliah 
243,aku ingin lihat foto saat date ,date
244,tolong tampilkan foto saat sma,sma
245,aku ingin lihat foto ku,yudo
246,aku ingin lihat foto ovil,ovil 
247,aku ingin lihat foto ovil saja,ovil 
248,bisa tolong tampilkan foto ku ,yudo
249,foto saat kuliah,kuliah
250,foto acara kampus,kuliah
251,aku ingin lihat foto ovil apa saja,ovil 
252,aku ingin lihat jumplah foto ku,len_yudo
253,jumlah foto saat kuliah berapa,len_kuliah
254,berapasih jumlah foto ku,len_yudo
255,tampilkan foto ovil,ovil 
256,tampilkan foto ku dong,yudo
257,kenangan saat sma,sma
258,tampilkan jumlah foto saat sma,len_sma
259,kenangan saat sma apa saja,sma 
260,tampilkan foto ovil saja ya,ovil 
261,tampilkan foto saat jaman sma,sma
262,tampilkan foto kita saat berdua,date
263,aku ingin lihat foto mesra kita,date
264,tampilkan kenangan saat sma,sma
265,tampilkan foto aktivitas kita di kampus,kuliah
266,aku ingin lihat foto yudo,yudo
267,perlihatkan foto yudo saja,yudo
268,aku ingin mengingat kenangan dulu saat sma,sma
269,perlihatkan foto kita saat keluar,date
270,tampilkan foto saat di kampus,kuliah
271,tampilkan foto saat kuliah,kuliah 
272,aku ingin lihat foto saat date,date
273,tolong tampilkan foto saat sma,sma
274,aku ingin lihat foto ku,yudo
275,aku ingin lihat foto ovil,ovil 
276,aku ingin lihat foto ovil saja,ovil 
277,bisa tolong tampilkan foto ku,yudo
278,foto saat kuliah,kuliah
279,foto acara kampus,kuliah
280,aku ingin lihat foto ovil apa saja,ovil 
281,aku ingin lihat jumplah foto ku,len_yudo
282,jumlah foto saat kuliah berapa,len_kuliah
283,berapasih jumlah foto ku ,len_yudo
284,tampilkan foto ovil,ovil 
285,tampilkan foto ku dong,yudo
286,kenangan saat sma,sma
287,tampilkan jumlah foto saat sma,len_sma
288,kenangan saat sma apa saja,sma 
289,tampilkan foto ovil saja ya,ovil 
290,tampilkan foto saat jaman sma,sma
291,tampilkan foto kita saat berdua,date
292,aku ingin lihat foto mesra kita,date
293,tampilkan kenangan saat sma,sma
294,tampilkan foto aktivitas kita di kampus,kuliah
295,aku ingin lihat foto yudo,yudo
296,perlihatkan foto yudo saja,yudo
297,aku ingin mengingat kenangan dulu saat sma,sma
298,perlihatkan foto kita saat keluar,date
299,tampilkan foto saat di kampus,kuliah
300,tampilkan foto saat kuliah,kuliah 
301,aku ingin lihat foto saat date,date
302,tolong tampilkan foto saat sma,sma
303,aku ingin lihat foto ku,yudo
304,aku ingin lihat foto ovil,ovil 
305,aku ingin lihat foto ovil saja,ovil 
306,bisa tolong tampilkan foto ku ,yudo
307,foto saat kuliah,kuliah
308,foto acara kampus,kuliah
309,aku ingin lihat foto ovil apa saja,ovil 
310,aku ingin lihat jumplah foto ku,len_yudo
311,jumlah foto saat kuliah berapa,len_kuliah
312,berapasih jumlah foto ku ,len_yudo
313,tampilkan foto ovil,ovil 
314,tampilkan foto ku dong,yudo
315,kenangan saat sma,sma
316,tampilkan jumlah foto saat sma,len_sma
317,kenangan saat sma apa saja,sma 
318,tampilkan foto ovil saja ya,ovil 
319,tampilkan foto saat jaman sma,sma
320,tampilkan foto kita saat berdua,date
321,aku ingin lihat foto mesra kita,date
322,tampilkan kenangan saat sma,sma
323,tampilkan foto aktivitas kita di kampus,kuliah
324,aku ingin lihat foto yudo,yudo
325,perlihatkan foto yudo saja,yudo
326,aku ingin mengingat kenangan dulu saat sma,sma
327,tampilkan dong jumlah foto saat date ya,len_date
328,tampilkan foto saat di kampus,kuliah
329,tampilkan foto saat kuliah,kuliah 
330,aku ingin lihat foto saat date ,date
331,tolong tampilkan foto saat sma,sma
332,aku ingin lihat foto ku,yudo
333,aku ingin lihat foto ovil,ovil 
334,aku ingin lihat foto ovil saja,ovil 
335,bisa tolong tampilkan foto ku,yudo
336,foto saat kuliah,kuliah
337,foto acara kampus,kuliah
338,aku ingin lihat foto ovil apa saja,ovil 
339,aku ingin lihat jumplah foto ku,len_yudo
340,jumlah foto saat kuliah berapa,len_kuliah
341,berapasih jumlah foto ku,len_yudo
342,tampilkan foto ovil,ovil 
343,tampilkan foto ku dong,yudo
344,kenangan saat sma,sma
345,tampilkan jumlah foto saat sma,len_sma
346,kenangan saat sma apa saja,sma 
347,tampilkan foto ovil saja ya,ovil 
348,tampilkan foto saat jaman sma,sma
349,jumlah foto date,len_date
350,tampilkan foto kita saat berdua,date
351,aku ingin lihat foto mesra kita,date
352,tampilkan kenangan saat sma,sma
353,tampilkan foto aktivitas kita di kampus,kuliah
354,aku ingin lihat foto yudo,yudo
355,perlihatkan foto yudo saja,yudo
356,aku ingin mengingat kenangan dulu saat sma,sma
357,perlihatkan foto kita saat keluar,date
358,tampilkan foto saat di kampus,kuliah
359,tampilkan foto saat kuliah,kuliah 
360,aku ingin lihat foto saat date,date
361,tolong tampilkan foto saat sma,sma
362,aku ingin lihat foto ku,yudo
363,aku ingin lihat foto ovil,ovil 
364,aku ingin lihat foto ovil saja,ovil 
365,bisa tolong tampilkan foto ku,yudo
366,foto saat kuliah,kuliah
367,foto acara kampus,kuliah
368,aku ingin lihat foto ovil apa saja,ovil 
369,aku ingin lihat jumplah foto ku,len_yudo
370,jumlah foto saat kuliah berapa,len_kuliah
371,berapasih jumlah foto ku ,len_yudo
372,tampilkan foto ovil,ovil 
373,tampilkan foto ku dong,yudo
374,kenangan saat sma,sma
375,tampilkan jumlah foto saat sma,len_sma
376,kenangan saat sma apa saja,sma 
377,tampilkan foto ovil saja ya,ovil 
378,tampilkan foto saat jaman sma,sma
379,tampilkan foto kita saat berdua,date
380,aku ingin lihat foto mesra kita,date
381,tampilkan kenangan saat sma ,sma
382,tampilkan foto aktivitas kita di kampus,kuliah
383,aku ingin lihat foto yudo,yudo
384,perlihatkan foto yudo saja,yudo
385,aku ingin mengingat kenangan dulu saat sma,sma
386,perlihatkan foto kita saat keluar,date
387,tampilkan foto saat di kampus,kuliah
388,tampilkan foto saat kuliah,kuliah 
389,aku ingin lihat foto saat date,date
390,tolong tampilkan foto saat sma,sma
391,aku ingin lihat foto ku,yudo
392,aku ingin lihat foto ovil,ovil 
393,aku ingin lihat foto ovil saja,ovil 
394,bisa tolong tampilkan foto ku,yudo
395,foto saat kuliah,kuliah
396,foto acara kampus,kuliah
397,aku ingin lihat foto ovil apa saja,ovil 
398,aku ingin lihat jumplah foto ku,len_yudo
399,jumlah foto saat kuliah berapa,len_kuliah
400,berapasih jumlah foto ku,len_yudo
401,tampilkan foto ovil,ovil 
402,tampilkan foto ku dong,yudo
403,kenangan saat sma,sma
404,tampilkan jumlah foto saat sma,len_sma
405,kenangan saat sma apa saja,sma 
406,tampilkan foto ovil saja ya,ovil 
407,tampilkan foto saat jaman sma,sma
408,tampilkan foto kita saat berdua,date
409,aku ingin lihat foto mesra kita,date
410,tampilkan kenangan saat sma,sma
411,tampilkan foto aktivitas kita di kampus,kuliah
412,aku ingin lihat foto yudo,yudo
413,perlihatkan foto yudo saja,yudo
414,aku ingin mengingat kenangan dulu saat sma,sma
415,perlihatkan foto kita saat keluar,date
416,tampilkan foto saat di kampus,kuliah
417,tampilkan foto saat kuliah,kuliah 
418,aku ingin lihat foto saat date,date
419,tolong tampilkan foto saat sma,sma
420,aku ingin lihat foto ku,yudo
421,aku ingin lihat foto ovil,ovil 
422,aku ingin lihat foto ovil saja,ovil 
423,bisa tolong tampilkan foto ku,yudo
424,foto saat kuliah,kuliah
425,foto acara kampus,kuliah
426,aku ingin lihat foto ovil apa saja,ovil 
427,aku ingin lihat jumplah foto ku,len_yudo
428,jumlah foto saat kuliah berapa,len_kuliah
429,berapasih jumlah foto ku ,len_yudo
430,tampilkan foto ovil,ovil 
431,tampilkan foto ku dong,yudo
432,kenangan saat sma,sma
433,tampilkan jumlah foto saat sma,len_sma
434,kenangan saat sma apa saja,sma 
435,tampilkan foto ovil saja ya,ovil 
436,tampilkan foto saat jaman sma,sma
437,tampilkan foto kita saat berdua,date
438,aku ingin lihat foto mesra kita,date
439,tampilkan kenangan saat sma ,sma
440,tampilkan foto aktivitas kita di kampus,kuliah
441,aku ingin lihat foto yudo,yudo
442,perlihatkan foto yudo saja,yudo
443,aku ingin mengingat kenangan dulu saat sma,sma
444,perlihatkan foto kita saat keluar,date
445,tampilkan foto saat di kampus,kuliah
446,tampilkan foto saat kuliah,kuliah 
447,aku ingin lihat foto saat date,date
448,tolong tampilkan foto saat sma,sma
449,aku ingin lihat foto ku,yudo
450,aku ingin lihat foto ovil,ovil 
451,aku ingin lihat foto ovil saja,ovil 
452,bisa tolong tampilkan foto ku,yudo
453,foto saat kuliah,kuliah
454,foto acara kampus,kuliah
455,aku ingin lihat foto ovil apa saja,ovil 
456,aku ingin lihat jumplah foto ku,len_yudo
457,jumlah foto saat kuliah berapa,len_kuliah
458,berapasih jumlah foto ku,len_yudo
459,tampilkan foto ovil,ovil 
460,tampilkan foto ku dong,yudo
461,kenangan saat sma,sma
462,tampilkan jumlah foto saat sma,len_sma
463,kenangan saat sma apa saja,sma 
464,tampilkan foto ovil saja ya,ovil 
465,tampilkan foto saat jaman sma,sma
466,tampilkan foto kita saat berdua,date
467,aku ingin lihat foto mesra kita,date
468,tampilkan kenangan saat sma,sma
469,tampilkan foto aktivitas kita di kampus,kuliah
470,aku ingin lihat foto yudo,yudo
471,perlihatkan foto yudo saja,yudo
472,aku ingin mengingat kenangan dulu saat sma,sma
473,perlihatkan foto kita saat keluar,date
474,tampilkan foto saat di kampus,kuliah
475,tampilkan foto saat kuliah,kuliah 
476,aku ingin lihat foto saat date,date
477,tolong tampilkan foto saat sma,sma
478,aku ingin lihat foto ku,yudo
479,aku ingin lihat foto ovil,ovil 
480,aku ingin lihat foto ovil saja,ovil 
481,bisa tolong tampilkan foto ku,yudo
482,foto saat kuliah,kuliah
483,foto acara kampus,kuliah
484,aku ingin lihat foto ovil apa saja,ovil 
485,aku ingin lihat jumplah foto ku,len_yudo
486,jumlah foto saat kuliah berapa,len_kuliah
487,berapasih jumlah foto ku,len_yudo
488,tampilkan foto ovil,ovil 
489,tampilkan foto ku dong,yudo
490,kenangan saat sma,sma
491,tampilkan jumlah foto saat sma,len_sma
492,kenangan saat sma apa saja,sma 
493,tampilkan foto ovil saja ya,ovil 
494,tampilkan foto saat jaman sma,sma
495,tampilkan jumlah foto date,len_date
496,aku ingin lihat foto mesra kita,date
497,tampilkan kenangan saat sma,sma
498,tampilkan foto aktivitas kita di kampus,kuliah
499,aku ingin lihat foto yudo,yudo
500,perlihatkan foto yudo saja,yudo
501,aku ingin mengingat kenangan dulu saat sma,sma
502,perlihatkan foto kita saat keluar,date
503,tampilkan foto saat di kampus,kuliah
504,tampilkan foto saat kuliah,kuliah 
505,aku ingin lihat foto saat date,date
506,tolong tampilkan foto saat sma,sma
507,aku ingin lihat foto ku,yudo
508,aku ingin lihat foto ovil,ovil 
509,aku ingin lihat foto ovil saja,ovil 
510,bisa tolong tampilkan foto ku,yudo
511,foto saat kuliah,kuliah
512,foto acara kampus,kuliah
513,aku ingin lihat foto ovil apa saja,ovil 
514,aku ingin lihat jumplah foto ku,len_yudo
515,jumlah foto saat kuliah berapa,len_kuliah
516,berapasih jumlah foto ku ,len_yudo
517,tampilkan foto ovil,ovil 
518,tampilkan foto ku dong,yudo
519,kenangan saat sma,sma
520,tampilkan jumlah foto saat sma,len_sma
521,kenangan saat sma apa saja,sma 
522,tampilkan foto ovil saja ya,ovil 
523,tampilkan foto saat jaman sma,sma
524,tampilkan foto kita saat berdua,date
525,tampilkan foto kita saat berdua,date
526,aku ingin lihat foto mesra kita,date
527,tampilkan kenangan saat sma ,sma
528,tampilkan foto aktivitas kita di kampus,kuliah
529,aku ingin lihat foto yudo,yudo
530,perlihatkan foto yudo saja,yudo
531,aku ingin mengingat kenangan dulu saat sma,sma
532,perlihatkan foto kita saat keluar,date
533,tampilkan foto saat di kampus,kuliah
534,tampilkan foto saat kuliah,kuliah 
535,aku ingin lihat foto saat date,date
536,tolong tampilkan foto saat sma,sma
537,aku ingin lihat foto ku,yudo
538,aku ingin lihat foto ovil,ovil 
539,aku ingin lihat foto ovil saja,ovil 
540,bisa tolong tampilkan foto ku,yudo
541,foto saat kuliah,kuliah
542,foto acara kampus,kuliah
543,aku ingin lihat foto ovil apa saja,ovil 
544,aku ingin lihat jumplah foto ku,len_yudo
545,jumlah foto saat kuliah berapa,len_kuliah
546,berapasih jumlah foto ku,len_yudo
547,tampilkan foto ovil,ovil 
548,tampilkan foto ku dong,yudo
549,kenangan saat sma,sma
550,tampilkan jumlah foto saat sma,len_sma
551,kenangan saat sma apa saja,sma 
552,tampilkan foto ovil saja ya,ovil 
553,tampilkan foto saat jaman sma,sma
554,tampilkan foto kita saat berdua,date
555,aku ingin lihat foto mesra kita,date
556,tampilkan kenangan saat sma,sma
557,tampilkan foto aktivitas kita di kampus,kuliah
558,aku ingin lihat foto yudo,yudo
559,perlihatkan foto yudo saja,yudo
560,aku ingin mengingat kenangan dulu saat sma,sma
561,perlihatkan foto kita saat keluar,date
562,tampilkan foto saat di kampus,kuliah
563,tampilkan foto saat kuliah,kuliah 
564,aku ingin lihat foto saat date,date
565,tolong tampilkan foto saat sma,sma
566,aku ingin lihat foto ku,yudo
567,aku ingin lihat foto ovil,ovil 
568,aku ingin lihat foto ovil saja,ovil 
569,bisa tolong tampilkan foto ku ,yudo
570,foto saat kuliah,kuliah
571,foto acara kampus,kuliah
572,aku ingin lihat foto ovil apa saja,ovil 
573,aku ingin lihat jumplah foto ku,len_yudo
574,jumlah foto saat kuliah berapa,len_kuliah
575,berapasih jumlah foto ku ,len_yudo
576,tampilkan foto ovil,ovil 
577,tampilkan foto ku dong,yudo
578,kenangan saat sma,sma
579,tampilkan jumlah foto saat sma,len_sma
580,kenangan saat sma apa saja,sma 
581,tampilkan foto ovil saja ya,ovil 
582,tampilkan foto saat jaman sma,sma
583,tampilkan foto kita saat berdua,date
584,aku ingin lihat foto mesra kita,date
585,tampilkan kenangan saat sma,sma
586,tampilkan foto aktivitas kita di kampus,kuliah
587,aku ingin lihat foto yudo,yudo
588,perlihatkan foto yudo saja,yudo
589,aku ingin mengingat kenangan dulu saat sma,sma
590,perlihatkan foto kita saat keluar,date
591,tampilkan foto saat di kampus,kuliah
592,tampilkan foto saat kuliah,kuliah 
593,aku ingin lihat foto saat date,date
594,tolong tampilkan foto saat sma,sma
595,aku ingin lihat foto ku,yudo
596,aku ingin lihat foto ovil,ovil 
597,aku ingin lihat foto ovil saja,ovil 
598,bisa tolong tampilkan foto ku,yudo
599,foto saat kuliah,kuliah
600,foto acara kampus,kuliah
601,aku ingin lihat foto ovil apa saja,ovil 
602,aku ingin lihat jumplah foto ku,len_yudo
603,jumlah foto saat kuliah berapa,len_kuliah
604,berapasih jumlah foto ku,len_yudo
605,tampilkan foto ovil,ovil 
606,tampilkan foto ku dong,yudo
607,kenangan saat sma,sma
608,tampilkan jumlah foto saat sma,len_sma
609,kenangan saat sma apa saja,sma 
610,tampilkan foto ovil saja ya,ovil 
611,tampilkan foto saat jaman sma,sma
612,tampilkan foto kita saat berdua,date
613,aku ingin lihat foto mesra kita,date
614,tampilkan kenangan saat sma,sma
615,tampilkan foto aktivitas kita di kampus,kuliah
616,aku ingin lihat foto yudo,yudo
617,perlihatkan foto yudo saja,yudo
618,aku ingin mengingat kenangan dulu saat sma,sma
619,perlihatkan foto kita saat keluar,date
620,tampilkan foto saat di kampus,kuliah
621,tampilkan foto saat kuliah,kuliah 
622,aku ingin lihat foto saat date,date
623,tolong tampilkan foto saat sma,sma
624,aku ingin lihat foto ku,yudo
625,aku ingin lihat foto ovil,ovil 
626,aku ingin lihat foto ovil saja,ovil 
627,bisa tolong tampilkan foto ku,yudo
628,foto saat kuliah,kuliah
629,foto acara kampus,kuliah
630,aku ingin lihat foto ovil apa saja,ovil 
631,aku ingin lihat jumplah foto ku,len_yudo
632,jumlah foto saat kuliah berapa,len_kuliah
633,berapasih jumlah foto ku,len_yudo
634,tampilkan foto ovil,ovil 
635,tampilkan foto ku dong,yudo
636,kenangan saat sma,sma
637,tampilkan jumlah foto saat sma,len_sma
638,kenangan saat sma apa saja,sma 
639,tampilkan foto ovil saja ya,ovil 
640,tampilkan foto saat jaman sma,sma
641,tampilkan foto kita saat berdua,date
642,aku ingin lihat foto mesra kita,date
643,tampilkan kenangan saat sma,sma
644,tampilkan foto aktivitas kita di kampus,kuliah
645,aku ingin lihat foto yudo,yudo
646,perlihatkan foto yudo saja,yudo
647,aku ingin mengingat kenangan dulu saat sma,sma
648,perlihatkan foto kita saat keluar,date
649,tampilkan foto saat di kampus,kuliah
650,tampilkan foto saat kuliah,kuliah 
651,aku ingin lihat foto saat date,date
652,tolong tampilkan foto saat sma,sma
653,aku ingin lihat foto ku,yudo
654,aku ingin lihat foto ovil,ovil 
655,aku ingin lihat foto ovil saja,ovil 
656,bisa tolong tampilkan foto ku ,yudo
657,foto saat kuliah,kuliah
658,foto acara kampus,kuliah
659,aku ingin lihat foto ovil apa saja,ovil 
660,aku ingin lihat jumplah foto ku,len_yudo
661,jumlah foto saat kuliah berapa,len_kuliah
662,berapasih jumlah foto ku,len_yudo
663,tampilkan foto ovil,ovil 
664,tampilkan foto ku dong,yudo
665,kenangan saat sma,sma
666,tampilkan jumlah foto saat sma,len_sma
667,kenangan saat sma apa saja,sma 
668,tampilkan foto ovil saja ya,ovil 
669,tampilkan foto saat jaman sma,sma
670,tampilkan foto kita saat berdua,date
671,aku ingin lihat foto mesra kita,date
672,tampilkan kenangan saat sma,sma
673,tampilkan foto aktivitas kita di kampus,kuliah
674,aku ingin lihat foto yudo,yudo
675,perlihatkan foto yudo saja,yudo
676,aku ingin mengingat kenangan dulu saat sma,sma
